subdir,filename,size,md5,sha256,internal_version
vision-v821/aiglass-ab,20260610104427_openwrt_v821_aiglass-ab.swu,12631040,15f0a15aea19f424ad73cd8b10199e38,5b31aa4b61267bbf2bb9987d536f10ebe46d36b042186e6982dd220a89241943,
vision-v821/aiglass-ab,20260624214225_openwrt_v821_aiglass-ab.swu,12515328,466f41df50cff6e417e9d1d57d9783e5,47e41c300980f42e291ae311330f4d21cdfc61337ce859e1d7e087f061b0d543,
vision-v821/aiglass-ab,20260629210058_openwrt_v821_aiglass-ab.swu,12515840,a37238adcde27cd315b0f6be880799ec,8d79c2d112ab9781ca0f61ec9abe0961f0314a6ecce1c41bf2955df77012cc9c,
vision-v821/aiglass-ab,20260703173735_openwrt_v821_aiglass-ab.swu,12518912,e3bc42d9f677308e6c0adde0e8beab33,08d4d296e9a98ad361fb9e35a614f5e6d3d2967ce6edc8115efc04d522a4a6f8,
vision-v821/aiglass-ab,20260706162612_openwrt_v821_aiglass-ab.swu,12655616,f9a771f0fdb28653cc03913e0c2f3eed,f46fe7b45776c8c3284f35f7258ff0768e8250dbc91b37b9eef6d050c238ea47,
vision-v821/aiglass-ab,20260708172951_openwrt_v821_aiglass-ab.swu,12517888,abc90b0063109f4537f9efa5e343e94e,f99db7e8d748b9e44269e2e8441a890e4a41a0aba87361c2994101208836d26f,
vision-v821/aiglass-ab,20260714103302_openwrt_v821_aiglass-ab.swu,13039104,d4d50becb029d531e17d89b8345b2add,bb430b9b352870c640b8bb9a88a614bcb36ed1af9517b6edf303877000e46c2e,
vision-v821/aiglass-ab,20260715101101_openwrt_v821_aiglass-ab.swu,12520960,c133733dee1a36c698d236fc0be966f9,c8db3c9335f9c58b3cf6550cee73d1a3743cbdd693b08c295de874a56f684ee2,
vision-v821/aiglass-ab,20260716114408_openwrt_v821_aiglass-ab.swu,10993152,c14a16c3a82d812afc644f94c55510a6,f3e0c9bd2757636664af1cc065490cb10e35bf8a426a2d4424d133d49cb3a41f,
vision-v821/aiglass-ab,20260720120418_openwrt_v821_aiglass-ab.swu,12516864,cc695b0f93cf1ed4480f61a50f358fa3,28f47282779e87f121bddab87f5228b792506bdfec3f07846ee20a49e0130272,
vision-v821/aiglass-ab,20260727182013_openwrt_v821_aiglass-ab.swu,12514816,7ed61aadef099a33fd1c8817dc0472b3,e2795480da0455be519059a5b3746ecfc5395f7962ea65dca082bb1548210312,
vision-v821/aiglass-ab,20260729144724_openwrt_v821_aiglass-ab.swu,12514304,92f5642317f73333f44e30dcf8c139c1,6fd3ad3c08c18115349ae5c1cbb8355f36891b9f9d37fc042b4bc7ff2a606602,
vision-v821/aiglass-ai,20251205165313_openwrt_v821_aiglass-ai.swu,24798208,c318933c86191590c22cc42fe399dd1d,c959ae0be0d4cf6413dac8e1e7422f746c3506e184d3efacfcf89ee293d8a4e0,1.0.0.1.3.2509221515
vision-v821/aiglass-ai,20251219094623_openwrt_v821_aiglass-ai.swu,0,d41d8cd98f00b204e9800998ecf8427e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
vision-v821/aiglass-ai,20251225171904_openwrt_v821_aiglass-ai.swu,24870912,35158da42928d6ce7053b42d631bf081,dbb7973377f97d688d7084a6399bbf9386ca7e7f3d960821b0e3c272e6ca27d0,1.0.0.1.3.2509161358
vision-v821/aiglass-ai,20260105115613_openwrt_v821_aiglass-ai.swu,19435520,68a5b07217cd6f52c8c43696d0fc7940,6b04857f91eb2b804773ce2ffe602a5b7d4e280990dc1b0ed1c78b475fe1eb36,1.0.0.1.3.2509022111
vision-v821/aiglass-ai,20260122103317_openwrt_v821_aiglass-ai.swu,25142784,4bd7d79d86f1e387bc6144361677bde0,f4d8b5671cc4e60b029dff68af9607b541a1710878e3bba25b077340360fbc4b,1.0.0.8.3.2601212046
vision-v821/aiglass-ai,20260122174551_openwrt_v821_aiglass-ai.swu,26140672,77e99775f7fc9343fa3a6e3d28fb427e,00612e6cec62666bf6ed504f11ab833be55b079d034ade1eb91ad2542a7aea2a,1.0.0.8.3.2601221555
vision-v821/aiglass-ai,20260203193937_openwrt_v821_aiglass-ai.swu,24877056,27d12bdde994862fa09feea3fd8312ce,07a46482bb745aa0b54a42304c8b0130ab4d8e5be18d8f6b483f55497692ea8c,1.0.1.1.4.2511220951
vision-v821/aiglass-ai,20260206195553_openwrt_v821_aiglass-ai.swu,24848384,76f9c63e2a598e707e6b3ec9bacb27fc,61c4be2c2c3098afa090a111be42366f3a2b46b47bf1645675ec073840e89a0a,1.0.0.10.3.2602051400
vision-v821/aiglass-ai,20260224114557_openwrt_v821_aiglass-ai.swu,25130496,726ebdee86e4f081741025f7e928b852,298de7b35a43675a9f419af5e3317e14ceca7a504493389b0274d841fc6478c5,1.0.0.10.3.2509022111
vision-v821/aiglass-ai,20260312150803_openwrt_v821_aiglass-ai.swu,19466752,02b18237afd684933a5832c86a7a5e59,55f15278407ff6b7181fe56981b6292107e8f7a70ef87ffa432334824259fb71,1.2.0.14.3.2512082115
vision-v821/aiglass-ai,20260402205157_openwrt_v821_aiglass-ai.swu,24979968,a458f11ae6ce6c056d8300fbe32bab56,fdadc730b97e53278225e8e985b0ff8d953812355c6290be8203030bab6f6419,1.2.0.15.3.2512082115
vision-v821/aiglass-ai,20260403201643_openwrt_v821_aiglass-ai.swu,24948736,55384e622aec96e2d5474a1792ec4500,285ab0014c338491c414018d80a135e686b78563ee83d00a57587e6a564994fe,1.0.0.4.3.2512082115
vision-v821/aiglass-ai,20260421115202_openwrt_v821_aiglass-ai.swu,24999424,04a409ddd9061eb3cf442eb3b314ddef,cb5387c04ea8bdd0391921756efa8cb882bcba359c822de4cb906df1920a6218,1.4.3.18.3.2604201855
vision-v821/aiglass-ai,20260427195936_openwrt_v821_aiglass-ai.swu,24996864,cfb419c83bca608eb98b3cb37a24cf7e,0b2e464be19a12dbcd3923593aa80373cc47fd9e4d7fd6e652c05e6f23be0362,1.4.0.20.3.2603302218
vision-v821/aiglass-ai,20260506195257_openwrt_v821_aiglass-ai.swu,25004544,6350982377cada37a923bc30be34d370,65c19601218e96c1f5c9e744a92f61d2b1b6131e69061150d35ee5ee9857e140,1.4.0.20.3.2601311025
vision-v821/aiglass-ai,20260506202516_openwrt_v821_aiglass-ai.swu,24817664,1c9e3a446ec202f24252f00fb9404764,b8ef8a0c60665c284e92fa3aaf8fef6a163d971e5a4c155a3c91393d55847de4,1.0.0.1.3.2512161640
vision-v821/aiglass-ai,20260509173354_openwrt_v821_aiglass-ai.swu,24860672,9ffb6d7a5280e91b1d311f9751472aff,9fcc0de0c83140c99ba2c34d5367c20d447cf6a9af8a7b5ea62935e72616b6c8,1.0.0.10.3.2510292111
vision-v821/aiglass-ai,20260522134220_openwrt_v821_aiglass-ai.swu,25012736,c270c7e5b98f43554659fb15860dc87a,591ed466354d93510088d57a5f14b9423194cb7cdc9aac03f43d4f1418cc9772,1.4.0.21.3.2512301530
vision-v821/aiglass-ai,20260526140209_openwrt_v821_aiglass-ai.swu,19508224,5edc05466374af4f27e98c77ac088f08,706edc324b8198735fc4bec9d39aac59eff15c0875ad55e67d40bb6939446ce8,1.2.0.21.3.2512082115
